DBH,Height,log DBH,log Height
4.9,3.3,0.69019608,0.51851394
7.1,4.4,0.851258349,0.643452676
7.6,5,0.880813592,0.698970004
8.9,5.5,0.949390007,0.740362689
10.6,7,1.025305865,0.84509804
10.8,7.2,1.033423755,0.857332496
3.5,3.5,0.544068044,0.544068044
4.9,4.5,0.69019608,0.653212514
6.8,5,0.832508913,0.698970004
7.7,5.5,0.886490725,0.740362689
7.7,6.5,0.886490725,0.812913357
8.8,6.7,0.944482672,0.826074803
2.1,2.2,0.322219295,0.342422681
3.3,2.5,0.51851394,0.397940009
5,3.2,0.698970004,0.505149978
5,4.5,0.698970004,0.653212514
6.6,5,0.819543936,0.698970004
7.5,5.2,0.875061263,0.716003344
2.2,3.1,0.342422681,0.491361694
3,4,0.477121255,0.602059991
2,3.1,0.301029996,0.491361694
2.3,4,0.361727836,0.602059991
4.5,3.6,0.653212514,0.556302501
6.4,4.8,0.806179974,0.681241237
7.8,6,0.892094603,0.77815125
9,6.2,0.954242509,0.792391689
10.4,6.5,1.017033339,0.812913357
10.4,6.6,1.017033339,0.819543936
6.3,3.9,0.799340549,0.591064607
8.2,5,0.913813852,0.698970004
9,6,0.954242509,0.77815125
9.9,6.5,0.995635195,0.812913357
11,7,1.041392685,0.84509804
11,7.2,1.041392685,0.857332496
4.2,3.88,0.62324929,0.588831726
5.5,4.3,0.740362689,0.633468456
7.2,4.5,0.857332496,0.653212514
7.4,5,0.86923172,0.698970004
11.3,6,1.053078443,0.77815125
2.2,2.26,0.342422681,0.354108439
3,2.35,0.477121255,0.371067862
3.6,3,0.556302501,0.477121255
4.5,3.4,0.653212514,0.531478917
5.1,4.5,0.707570176,0.653212514
5.1,4.5,0.707570176,0.653212514
2.7,2.5,0.431363764,0.397940009
2.6,3.2,0.414973348,0.505149978
3.3,3.2,0.51851394,0.505149978
5.9,4.7,0.770852012,0.672097858
6.5,5,0.812913357,0.698970004
7.1,6,0.851258349,0.77815125
4,2.75,0.602059991,0.439332694
6,2.85,0.77815125,0.45484486
4,3,0.602059991,0.477121255
5,3,0.698970004,0.477121255
6.5,3.6,0.812913357,0.556302501
7.4,4.2,0.86923172,0.62324929
7.5,5,0.875061263,0.698970004
9,6,0.954242509,0.77815125
9,6.1,0.954242509,0.785329835
2,2.3,0.301029996,0.361727836
2.8,2.6,0.447158031,0.414973348
3.4,3,0.531478917,0.477121255
3.5,4,0.544068044,0.602059991
3.7,4.5,0.568201724,0.653212514
3.7,4.6,0.568201724,0.662757832
4.9,4,0.69019608,0.602059991
6.5,4.8,0.812913357,0.681241237
7.3,5.2,0.86332286,0.716003344
7.4,6,0.86923172,0.77815125
10.5,7,1.021189299,0.84509804
11,7.5,1.041392685,0.875061263
5.7,3.85,0.755874856,0.58546073
6.1,4,0.785329835,0.602059991
6.5,4.5,0.812913357,0.653212514
6.7,4.7,0.826074803,0.672097858
6.7,5,0.826074803,0.698970004
6.7,5.2,0.826074803,0.716003344
4.8,3,0.681241237,0.477121255
5.5,4,0.740362689,0.602059991
6.3,4.4,0.799340549,0.643452676
6.4,5,0.806179974,0.698970004
7,5.5,0.84509804,0.740362689
7.1,5.7,0.851258349,0.755874856
9.3,6.4,0.968482949,0.806179974
11.2,7.1,1.049218023,0.851258349
12.4,7.6,1.093421685,0.880813592
12.9,8.5,1.11058971,0.929418926
13.4,9.5,1.127104798,0.977723605
14.1,10,1.149219113,1
2.5,3.2,0.397940009,0.505149978
3,3.4,0.477121255,0.531478917
4,3.7,0.602059991,0.568201724
4.8,4.3,0.681241237,0.633468456
5.4,5,0.73239376,0.698970004
5.4,5,0.73239376,0.698970004
11.4,5.5,1.056904851,0.740362689
12.7,6.5,1.103803721,0.812913357
12.7,7.5,1.103803721,0.875061263
14.3,8,1.155336037,0.903089987
14.4,9,1.158362492,0.954242509
14.5,9.3,1.161368002,0.968482949
8.8,4.5,0.944482672,0.653212514
10.1,5.2,1.004321374,0.716003344
10.7,5.6,1.029383778,0.748188027
12.4,7.2,1.093421685,0.857332496
12.7,8.5,1.103803721,0.929418926
12.7,8.5,1.103803721,0.929418926
3.6,3.1,0.556302501,0.491361694
4.8,3.65,0.681241237,0.562292864
5.3,4.7,0.72427587,0.672097858
5.6,5,0.748188027,0.698970004
6.4,5.5,0.806179974,0.740362689
6.9,5.7,0.838849091,0.755874856
3.8,3.5,0.579783597,0.544068044
4.5,3.4,0.653212514,0.531478917
5,4.5,0.698970004,0.653212514
5.1,4.7,0.707570176,0.672097858
5.1,5,0.707570176,0.698970004
5.2,5.3,0.716003344,0.72427587
2.7,2.2,0.431363764,0.342422681
3.8,3.7,0.579783597,0.568201724
4.9,4.5,0.69019608,0.653212514
5.1,5,0.707570176,0.698970004
6.8,5.5,0.832508913,0.740362689
6.9,5.7,0.838849091,0.755874856
3.3,3.5,0.51851394,0.544068044
3.4,3.8,0.531478917,0.579783597
3.4,3.9,0.531478917,0.591064607
6.2,3.2,0.792391689,0.505149978
6.6,3.8,0.819543936,0.579783597
6.6,4,0.819543936,0.602059991
7.4,4.2,0.86923172,0.62324929
8.1,5.2,0.908485019,0.716003344
8.7,5.5,0.939519253,0.740362689
3.8,2.8,0.579783597,0.447158031
4.4,3.8,0.643452676,0.579783597
4.9,4,0.69019608,0.602059991
5.4,4.2,0.73239376,0.62324929
5.9,5,0.770852012,0.698970004
5.9,5.1,0.770852012,0.707570176
2.6,2.4,0.414973348,0.380211242
4.2,2.6,0.62324929,0.414973348
4.6,4.5,0.662757832,0.653212514
5.2,5,0.716003344,0.698970004
5.7,6,0.755874856,0.77815125
5.7,6.2,0.755874856,0.792391689
2.2,2.6,0.342422681,0.414973348
4.1,4.8,0.612783857,0.681241237
4.2,4.8,0.62324929,0.681241237
5.3,3.8,0.72427587,0.579783597
6.2,4.2,0.792391689,0.62324929
7,5,0.84509804,0.698970004
7.1,5.4,0.851258349,0.73239376
7.1,5.7,0.851258349,0.755874856
7.2,5.8,0.857332496,0.763427994
5.4,3.5,0.73239376,0.544068044
7,4.75,0.84509804,0.67669361
8.8,5,0.944482672,0.698970004
9.6,5.7,0.982271233,0.755874856
10,6,1,0.77815125
11,6.5,1.041392685,0.812913357
3.5,2.8,0.544068044,0.447158031
4.1,3.1,0.612783857,0.491361694
5,3.5,0.698970004,0.544068044
5.7,5,0.755874856,0.698970004
7.1,5.5,0.851258349,0.740362689
7.4,5.7,0.86923172,0.755874856
