CD-04 Tapajos National Forest - Km 83 - Tree Dendrometer Data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD04_TNF_KM83_Dendrometer.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processed 17-Feb-2010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRID_BLOCK, Block within 18-ha sample grid east of flux tower ,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAMILY, Tree family ,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECIES, Tree species ,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMON_NAME,Species local name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG_NUMBER,Unique tree identification,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC,Distance along the east-west axis from the block origin(m),,,,,,,,,,,,,,,,,,,,,,,,,,,
YLOC,Distance along the north south axis from the block origin(m),,,,,,,,,,,,,,,,,,,,,,,,,,,
DBH_2000_SURVEY,胸部高度(1.3米)的初始直径(厘米)。对于横断面上的树木，这是在2000年3月测量的。对于林隙中的树木，这是在2002年3月或4月测量的,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAM_320,Diameter (cm) at breast height (1.3 meters) on day 320. (Day since 2000/01/01.),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diameter (cm) at breast height (1.3 meters) on day xxx. (Day since 2000/01/01.),,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAM_1823,Diameter (cm) at breast height (1.3 meters) on day 1823. (Day since 2000/01/01.),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing values are -999.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
