Treatment,Block,Plot,Tree_ID,Species,Sample_ID,Measurement_Period,Year,Month,DBH,Height,Comments
Control,B1,P3,i155,Rollinia exsucca,Control>B1>P3>i155>Rollinia exsucca,Nov-99,1999,November,4.9,3.3,
Control,B1,P3,i155,Rollinia exsucca,Control>B1>P3>i155>Rollinia exsucca,May-00,2000,May,7.1,4.4,
Control,B1,P3,i155,Rollinia exsucca,Control>B1>P3>i155>Rollinia exsucca,1-Jun,2001,June,7.6,5,
Control,B1,P3,i155,Rollinia exsucca,Control>B1>P3>i155>Rollinia exsucca,2-Jul,2002,July,8.9,5.5,
Control,B1,P3,i155,Rollinia exsucca,Control>B1>P3>i155>Rollinia exsucca,4-Jul,2004,July,10.6,7,
Control,B1,P3,i155,Rollinia exsucca,Control>B1>P3>i155>Rollinia exsucca,5-Jul,2005,July,10.8,7.2,
Control,B1,P3,i156,Rollinia exsucca,Control>B1>P3>i156>Rollinia exsucca,Nov-99,1999,November,3.5,3.5,
Control,B1,P3,i156,Rollinia exsucca,Control>B1>P3>i156>Rollinia exsucca,May-00,2000,May,4.9,4.5,
Control,B1,P3,i156,Rollinia exsucca,Control>B1>P3>i156>Rollinia exsucca,1-Jun,2001,June,6.8,5,
Control,B1,P3,i156,Rollinia exsucca,Control>B1>P3>i156>Rollinia exsucca,2-Jul,2002,July,7.7,5.5,
Control,B1,P3,i156,Rollinia exsucca,Control>B1>P3>i156>Rollinia exsucca,4-Jul,2004,July,7.7,6.5,
Control,B1,P3,i156,Rollinia exsucca,Control>B1>P3>i156>Rollinia exsucca,5-Jul,2005,July,8.8,6.7,
Control,B1,P3,i157,Rollinia exsucca,Control>B1>P3>i157>Rollinia exsucca,Nov-99,1999,November,2.1,2.2,
Control,B1,P3,i157,Rollinia exsucca,Control>B1>P3>i157>Rollinia exsucca,May-00,2000,May,3.3,2.5,
Control,B1,P3,i157,Rollinia exsucca,Control>B1>P3>i157>Rollinia exsucca,1-Jun,2001,June,5,3.2,
Control,B1,P3,i157,Rollinia exsucca,Control>B1>P3>i157>Rollinia exsucca,2-Jul,2002,July,5,4.5,
Control,B1,P3,i157,Rollinia exsucca,Control>B1>P3>i157>Rollinia exsucca,4-Jul,2004,July,6.6,5,
Control,B1,P3,i157,Rollinia exsucca,Control>B1>P3>i157>Rollinia exsucca,5-Jul,2005,July,7.5,5.2,
Control,B1,P3,i158,Rollinia exsucca,Control>B1>P3>i158>Rollinia exsucca,Nov-99,1999,November,2.2,3.1,
Control,B1,P3,i158,Rollinia exsucca,Control>B1>P3>i158>Rollinia exsucca,May-00,2000,May,3,4,
Control,B1,P3,i159,Rollinia exsucca,Control>B1>P3>i159>Rollinia exsucca,Nov-99,1999,November,2,3.1,
Control,B1,P3,i159,Rollinia exsucca,Control>B1>P3>i159>Rollinia exsucca,May-00,2000,May,2.3,4,
Control,B1,P3,i160,Rollinia exsucca,Control>B1>P3>i160>Rollinia exsucca,Nov-99,1999,November,4.5,3.6,
Control,B1,P3,i160,Rollinia exsucca,Control>B1>P3>i160>Rollinia exsucca,May-00,2000,May,6.4,4.8,
Control,B1,P3,i160,Rollinia exsucca,Control>B1>P3>i160>Rollinia exsucca,1-Jun,2001,June,7.8,6,
Control,B1,P3,i160,Rollinia exsucca,Control>B1>P3>i160>Rollinia exsucca,2-Jul,2002,July,9,6.2,
Control,B1,P3,i160,Rollinia exsucca,Control>B1>P3>i160>Rollinia exsucca,4-Jul,2004,July,10.4,6.5,
Control,B1,P3,i160,Rollinia exsucca,Control>B1>P3>i160>Rollinia exsucca,5-Jul,2005,July,10.4,6.6,
Control,B1,P3,i161,Rollinia exsucca,Control>B1>P3>i161>Rollinia exsucca,Nov-99,1999,November,6.3,3.9,
Control,B1,P3,i161,Rollinia exsucca,Control>B1>P3>i161>Rollinia exsucca,May-00,2000,May,8.2,5,
Control,B1,P3,i161,Rollinia exsucca,Control>B1>P3>i161>Rollinia exsucca,1-Jun,2001,June,9,6,
Control,B1,P3,i161,Rollinia exsucca,Control>B1>P3>i161>Rollinia exsucca,2-Jul,2002,July,9.9,6.5,
Control,B1,P3,i161,Rollinia exsucca,Control>B1>P3>i161>Rollinia exsucca,4-Jul,2004,July,11,7,
Control,B1,P3,i161,Rollinia exsucca,Control>B1>P3>i161>Rollinia exsucca,5-Jul,2005,July,11,7.2,
Control,B1,P3,i162,Solanum crinitum,Control>B1>P3>i162>Solanum crinitum,Nov-99,1999,November,4.2,3.88,
Control,B1,P3,i162,Solanum crinitum,Control>B1>P3>i162>Solanum crinitum,May-00,2000,May,5.5,4.3,
Control,B1,P3,i162,Solanum crinitum,Control>B1>P3>i162>Solanum crinitum,1-Jun,2001,June,7.2,4.5,
Control,B1,P3,i162,Solanum crinitum,Control>B1>P3>i162>Solanum crinitum,2-Jul,2002,July,7.4,5,
Control,B1,P3,i162,Solanum crinitum,Control>B1>P3>i162>Solanum crinitum,4-Jul,2004,July,11.3,6,
Control,B1,P3,i163,Rollinia exsucca,Control>B1>P3>i163>Rollinia exsucca,Nov-99,1999,November,2.2,2.26,
Control,B1,P3,i163,Rollinia exsucca,Control>B1>P3>i163>Rollinia exsucca,May-00,2000,May,3,2.35,
Control,B1,P3,i163,Rollinia exsucca,Control>B1>P3>i163>Rollinia exsucca,1-Jun,2001,June,3.6,3,
Control,B1,P3,i163,Rollinia exsucca,Control>B1>P3>i163>Rollinia exsucca,2-Jul,2002,July,4.5,3.4,
Control,B1,P3,i163,Rollinia exsucca,Control>B1>P3>i163>Rollinia exsucca,4-Jul,2004,July,5.1,4.5,
Control,B1,P3,i163,Rollinia exsucca,Control>B1>P3>i163>Rollinia exsucca,5-Jul,2005,July,5.1,4.5,
Control,B1,P3,i164,Rollinia exsucca,Control>B1>P3>i164>Rollinia exsucca,Nov-99,1999,November,2.7,2.5,A bush with 2 indivudual trunks
Control,B1,P3,i164,Rollinia exsucca,Control>B1>P3>i164>Rollinia exsucca,May-00,2000,May,2.6,3.2,
Control,B1,P3,i164,Rollinia exsucca,Control>B1>P3>i164>Rollinia exsucca,1-Jun,2001,June,3.3,3.2,
Control,B1,P3,i164,Rollinia exsucca,Control>B1>P3>i164>Rollinia exsucca,2-Jul,2002,July,5.9,4.7,
Control,B1,P3,i164,Rollinia exsucca,Control>B1>P3>i164>Rollinia exsucca,4-Jul,2004,July,6.5,5,
Control,B1,P3,i164,Rollinia exsucca,Control>B1>P3>i164>Rollinia exsucca,5-Jul,2005,July,7.1,6,
Control,B1,P3,i165,Solanum crinitum,Control>B1>P3>i165>Solanum crinitum,Nov-99,1999,November,4,2.75,
Control,B1,P3,i165,Solanum crinitum,Control>B1>P3>i165>Solanum crinitum,May-00,2000,May,6,2.85,
Control,B1,P3,i165,Solanum crinitum,Control>B1>P3>i165>Solanum crinitum,1-Jun,2001,June,4,3,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,Nov-99,1999,November,5,3,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,May-00,2000,May,6.5,3.6,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,1-Jun,2001,June,7.4,4.2,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,2-Jul,2002,July,7.5,5,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,4-Jul,2004,July,9,6,
Control,B1,P3,i166,Rollinia exsucca,Control>B1>P3>i166>Rollinia exsucca,5-Jul,2005,July,9,6.1,
Control,B1,P3,i167,Rollinia exsucca,Control>B1>P3>i167>Rollinia exsucca,Nov-99,1999,November,2,2.3,
Control,B1,P3,i167,Rollinia exsucca,Control>B1>P3>i167>Rollinia exsucca,May-00,2000,May,2.8,2.6,
Control,B1,P3,i167,Rollinia exsucca,Control>B1>P3>i167>Rollinia exsucca,1-Jun,2001,June,3.4,3,
Control,B1,P3,i167,Rollinia exsucca,Control>B1>P3>i167>Rollinia exsucca,2-Jul,2002,July,3.5,4,
Control,B1,P3,i167,Rollinia exsucca,Control>B1>P3>i167>Rollinia exsucca,4-Jul,2004,July,3.7,4.5,
