t,AGB_sample,AGB_sample_perha,AGB_real_perha,,,
0,296980.8669,16498.93705,336332.3689,,,
42,297102.6141,16505.70078,336470.2483,,砍的树每棵AGB,砍之前每公顷AGB
84,297215.3997,16511.96665,336597.9785,,30000,426332.3689
126,297999.7397,16555.54109,337486.2477,,,
168,298706.114,16594.78411,338286.2202,,,
210,299615.1703,16645.28724,339315.7312,,,
252,300351.1362,16686.17423,340149.2164,,336332.3689,
308,300867.6371,16714.86873,340734.1563,,,
364,301131.2057,16729.51143,341032.6491,,,
385,301593.9429,16755.21905,341556.7014,,,
448,302492.2611,16805.12562,342574.0514,,,
490,303084.4084,16838.02269,343244.6613,,,
532,304376.4902,16909.80501,344707.9506,,,
581,305338.001,16963.22228,345796.8666,,,
630,306196.0616,17010.89231,346768.6246,,,
672,306524.1695,17029.12053,347140.2085,,,
707,307045.6277,17058.09043,347730.7626,,,
749,307614.6091,17089.70051,348375.137,,,
795,308494.7662,17138.59812,349371.9195,,,
847,309641.9935,17202.33297,350671.1603,,,
897,310816.5485,17267.58603,352001.35,,,
945,311863.2889,17325.73827,353186.7889,,,
988,312523.8099,17362.43388,353934.8323,,,
1022,313065.2552,17392.51418,354548.0219,,,
1092,314050.9511,17447.27506,355664.3276,,,
1158,314655.3821,17480.85456,356348.8489,,,
1189,316042.7387,17557.92993,357920.0374,,,
