Data Set,Tapajos National Forest - km 83 - March 2000  Tree Survey,,,,,,,,,,,,
Site,Flona Tapajos National Forest (TNF) Km 83 tower site - Santarem - Para - Brazil,,,,,,,,,,,,
File name ,CD04_TNF_KM83_Tree_Survey_2000.csv,,,,,,,,,,,,
File date ,2010-1-18,,,,,,,,,,,,
LBA Team ID,  CD-04,,,,,,,,,,,,
,,,,,,,,,,,,,
Tree survey in 18 ha plot east of the eddy covariance tower in March 2000,,,,,,,,,,,,,
,,,,,,,,,,,,,
Column,Heading,Units/format,Description,,,,,,,,,,
1,COMMON NAME, ,tree common name,,,,,,,,,,
2,SCIENTIFIC NAME,,tree scientific name,,,,,,,,,,
3,FAMILY,,tree family,,,,,,,,,,
4,BLOCK, ,location within the 18-ha grid where damaged tree was located,,,,,,,,,,
5,TAG #, ,LBA tag number installed 2000,,,,,,,,,,
6,DBH,cm,diameter at breast height (DBH),,,,,,,,,,
,,,,,,,,,,,,,
"Trees >35 cm DBH measured in the 18 ha grid plus 1.25 ha section of line G, total 19.25 ha",,,,,,,,,,,,,
"Trees >10 cm DBH but <35 cm were measured in the 1.8 ha subgrid plus a 0.5 ha section of line G, total 2.3 ha",,,,,,,,,,,,,
,,,,,,,,,,,,,
COMMON NAME,SCIENTIFIC NAME,FAMILY,BLOCK,TAG #,DBH,height,AGB,AGBSum,,,,树木量,每公顷树木量
Acariquara,Minquartia guianensis Aubl.,Olacaceae,A0,1,52.4,25.77308356,1312.941776,2516024.255,19.25,130702.5587,,1529,79.42857143
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,A0,2,78,37.41200843,4171.691649,421144.8794,2.3,183106.4693,,630,273.9130435
Acariquarana,Rinoria guianensis Aubl.,Violaceae,A0,3,41.7,20.90837669,680.819898,,,313809.028,,,353.3416149
Envira surucucu,Duguetia echinophora R.E. Fries,Annonaceae,A0,4,38,19.22618833,522.1381902,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,A0,5,38.5,19.45351108,541.9632749,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,A0,6,103,48.77814599,9425.244818,,,,,砍的数据中,
Matamata vermelho ,Eschweilera observa (Berg) Miers,Lecythidaceae,B0,7,34,17.40760632,380.6194916,,,,,312,17.33333333
Abiu branco,Micropholis guianensis ,Sapotaceae,B0,8,49.5,24.45461161,1114.076539,,,,,,
Melancieira,Alexa grandiflora Ducke,Papilionoideae,B0,9,64.5,31.27429414,2397.263654,,,,,,20.38509317
Tauari,Couratari guianensis Aubl.,Lecythidaceae,B0,10,63.2,30.68325499,2259.51309,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,C0,11,56.1,27.45527192,1599.253885,,,,,,
Fava folha fina,Pseudopiptadenia psilostachya Benth.,Mimosoideae,D0,12,113,53.32460102,12379.80722,,,,,,
Abiu,Micropholis sp.,Sapotaceae,D0,13,37.5,18.99886557,502.8018085,,,,,,
Parapara,Jacaranda copaia (Aubl.) D.Don,Bignoniaceae,F0,14,39.3,19.81722748,574.7151062,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,G0,15,99.8,47.32328039,8590.2136,,,,,,
Quinarana,Geissospermum sericeum (Benth.)Hook.,Apocynaceae,G0,16,72.5,34.91145817,3369.714473,,,,,,
Abiu vermelho,Pouteria sp.,Sapotaceae,G0,17,69.8,33.68391531,3016.750978,,,,,,
Fava arara tucupi,Parkia multijuga Benth.,Papilionoideae,G0,18,101,47.86885499,8897.309465,,,,,,
Castanha do Para ,Bertholletia excelsa Humb. & Bonpl.,Lecythidaceae,H0,19,141,66.05467509,23789.62551,,,,,,
Abiu rosadinha,Michopholis venulosa Pierre,Sapotaceae,H0,20,37.2,18.86247192,491.4320247,,,,,,
Muirarema,Conceveiba guianensis,Euphorbiaceae,H0,21,47.7,23.6362497,1001.355866,,,,,,
Abiu branco,Micropholis guianensis ,Sapotaceae,H0,22,47.7,23.6362497,1001.355866,,,,,,
Cupiuba,Goupia glabra Aubl.,Celastraceae,H0,23,92.2,43.86797457,6807.754302,,,,,,
Matamata vermelho ,Eschweilera observa (Berg) Miers,Lecythidaceae,I0,24,37.3,18.90793647,495.2027292,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,I0,25,49.2,24.31821795,1094.731608,,,,,,
Mamorana,Eriotheca globosa (Aubl.) Robyns,Bombacaceae,I0,26,110.7,52.27891636,11652.39313,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,I0,27,70.1,33.82030896,3054.690585,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,I0,28,84.5,40.3672042,5272.291368,,,,,,
Envirao,Xylopia sp.,Annonaceae,J0,29,55.3,27.09155552,1534.143442,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,J0,30,48.4,23.95450155,1044.241622,,,,,,
Melancieira,Alexa grandiflora Ducke,Papilionoideae,J0,31,59.4,28.95560208,1887.294803,,,,,,
Abiu casca grossa,Pouteria biloculares (Winkler)Baehni,Sapotaceae,J0,32,47.5,23.5453206,989.3219647,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,K0,33,46.8,23.22706875,947.9622285,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,K0,34,88.7,42.27671531,6077.393845,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,K0,35,71.5,34.45681266,3235.949127,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,L0,36,70.3,33.91123806,3080.159449,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,L0,37,38,19.22618833,522.1381902,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,L0,38,65,31.5016169,2451.699019,,,,,,
Cocao,Dialium sp.,Caesalpinioideae,A1,39,58.4,28.50095658,1796.643716,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,A1,40,65.1,31.54708145,2462.683975,,,,,,
Matamata vermelho ,Eschweilera observa (Berg) Miers,Lecythidaceae,B1,41,39.4,19.86269203,578.8993891,,,,,,
Pente de macaco,Apeiba echinata Gaertn.,Tiliaceae,B1,42,46.3,22.999746,919.1355243,,,,,,
Envira cana,Xylopia nitida Dun.,Annonaceae,B1,43,52.7,25.90947721,1334.76864,,,,,,
Pente de macaco,Apeiba echinata Gaertn.,Tiliaceae,B1,44,70.5,34.00216716,3105.769402,,,,,,
Fava timbauba,Enterolobium maximum Ducke,Mimosoideae,B1,45,115.3,54.37028568,13136.87092,,,,,,
Breu vermelho,Trattinnickia rhoifolia Winlld.,Burseraceae,B1,46,39.2,19.77176293,570.5510045,,,,,,
Gombeira vermelha,Swartzia laurifolia Benth.,Papilionoideae,C1,47,46.8,23.22706875,947.9622285,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,D1,48,63.8,30.95604229,2322.415652,,,,,,
Embauba vermelha,Cecropia sciadophylla Mart.,Cecropiaceae,E1,49,52.5,25.81854811,1320.190773,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,E1,50,38.5,19.45351108,541.9632749,,,,,,
Quinarana,Geissospermum sericeum (Benth.)Hook.,Apocynaceae,F1,51,35.3,17.99864547,423.3732471,,,,,,
Envira cana,Xylopia nitida Dun.,Annonaceae,G1,52,49,24.22728885,1081.960076,,,,,,
Jarana ,Lecythis lurida (Miers) Mori,Lecythidaceae,G1,53,55.9,27.36434282,1582.807085,,,,,,
Pente de macaco,Apeiba echinata Gaertn.,Tiliaceae,G1,54,42.2,21.13569944,704.4505675,,,,,,
Quarubarana,Erisma uncinatum Warm.,Vochysiaceae,H1,55,64.8,31.4106878,2429.827136,,,,,,
Mamorana,Eriotheca globosa (Aubl.) Robyns,Bombacaceae,I1,56,40.5,20.36280208,626.2723853,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,I1,57,39.9,20.09001478,600.1252255,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,J1,58,63,30.59232589,2238.800621,,,,,,
Pente de macaco,Apeiba echinata Gaertn.,Tiliaceae,J1,59,55.8,27.31887827,1574.626104,,,,,,
Tachirana,Stryphnodendron paniculatum,Caesalpinioideae,K1,60,40.2,20.22640843,613.106018,,,,,,
Tento folha miuda,Abarema mataybifolia ( Sandw ) Barneby & Grimes,Mimosoideae,K1,61,45.5,22.6360296,874.2369244,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,K1,62,71.5,34.45681266,3235.949127,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,L1,63,71.3,34.36588356,3209.62789,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,L1,64,98.8,46.86863488,8339.762894,,,,,,
Abiu branco,Micropholis guianensis ,Sapotaceae,L1,65,86.5,41.2764952,5646.172118,,,,,,
Cupiuba,Goupia glabra Aubl.,Celastraceae,L1,66,109.3,51.64241266,11223.88389,,,,,,
Melancieira,Alexa grandiflora Ducke,Papilionoideae,L1,67,44.6,22.22684864,825.4995642,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,L2,68,49.4,24.40914706,1107.603146,,,,,,
Sucupira ,Diplotropis purpurea (L.C.Rick.)Amsh.,,L2,69,40.8,20.49919573,639.6256422,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,L2,70,87.8,41.86753436,5898.427141,,,,,,
Louro,Ocotea sp.,Lauraceae,K2,71,85,40.59452695,5364.164506,,,,,,
Abiu rosadinha,Michopholis venulosa Pierre,Sapotaceae,K2,72,54.5,26.72783912,1470.823151,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,K2,73,58.7,28.63735023,1823.527286,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,K2,74,57.9,28.27363383,1752.426721,,,,,,
Cedro vermelho,Cedrela odorata L.,Meliaceae,J2,75,106.8,50.5057989,10485.04802,,,,,,
Jutai mirim,Hymenaea parvifolia Huber,Caesalpinioideae,J2,76,53.2,26.13679997,1371.681503,,,,,,
Castanha de arara,Joannesia hevioides Ducke,Euphorbiaceae,J2,77,62.9,30.54686134,2228.49199,,,,,,
Jarana ,Lecythis lurida (Miers) Mori,Lecythidaceae,J2,78,86.5,41.2764952,5646.172118,,,,,,
Abiu,Micropholis sp.,Sapotaceae,J2,79,58,28.31909838,1761.211452,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,J2,80,41,20.59012483,648.6322903,,,,,,
Louro abacate,Ocotea sp.,Lauraceae,J2,81,52.8,25.95494176,1342.097607,,,,,,
Melancieira,Alexa grandiflora Ducke,Papilionoideae,J2,82,46,22.86335235,902.1229663,,,,,,
Fava folha fina,Pseudopiptadenia psilostachya Benth.,Mimosoideae,J2,83,68.5,33.09287615,2855.972145,,,,,,
Joao mole,Neea floribunda Poepp & Endl,Nyctaginaceae,I2,84,47.2,23.40892695,971.4522942,,,,,,
Tachi branco,Tachigalia alba Ducke,Caesalpinioideae,I2,85,50.3,24.81832801,1166.773083,,,,,,
Abiu rosadinha,Michopholis venulosa Pierre,Sapotaceae,I2,86,56.3,27.54620102,1615.814128,,,,,,
Abiu casca grossa,Pouteria biloculares (Winkler)Baehni,Sapotaceae,H2,87,68.3,33.00194705,2831.755559,,,,,,
Fava de rosca,Enterolobium schomburgkii (Berth.) Benth.,Mimosoideae,H2,88,86,41.04917245,5551.098799,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,H2,89,37.7,19.08979467,510.4781064,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinioideae,H2,90,111.9,52.82449097,12028.25071,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,G2,91,63.2,30.68325499,2259.51309,,,,,,
Matamata vermelho ,Eschweilera observa (Berg) Miers,Lecythidaceae,G2,92,45.2,22.49963594,857.7840898,,,,,,
Carapanauba,Aspidosperma nitidum Benth.,Apocynaceae,G2,93,40.8,20.49919573,639.6256422,,,,,,
Quinarana,Geissospermum sericeum (Benth.)Hook.,Apocynaceae,G2,94,54.3,26.63691002,1455.269869,,,,,,
Matamata branco,Eschweilera sp.,Lecythidaceae,G2,95,41.5,20.81744758,671.5174199,,,,,,
Fava folha fina,Pseudopiptadenia psilostachya Benth.,Mimosoideae,F2,96,53.2,26.13679997,1371.681503,,,,,,
Louro preto,Ocotea baturitensis Vattimo,Lauraceae,F2,97,42.5,21.27209309,718.8876992,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,E2,98,80.5,38.54862219,4574.759559,,,,,,
Matamata vermelho ,Eschweilera observa (Berg) Miers,Lecythidaceae,E2,99,38.9,19.63536928,558.1792994,,,,,,
Capitiu,Dendrobangia sp.,Icacinaceae,E2,100,38.7,19.54444018,550.0315091,,,,,,
Seringueira,Hevea brasiliensis Muell. Arg.,Euphorbiaceae,E2,101,45.6,22.68149415,879.7675379,,,,,,
Breu sucuruba,Trattinnickia rhoifolia Winlld.,Burseraceae,D2,102,112.1,52.91542007,12091.66856,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,D2,103,127.7,60.00788991,17754.38007,,,,,,
Tachi pitomba,Sclerolobium sp.,Caesalpinioideae,D2,104,46.7,23.1816042,942.1494163,,,,,,
Breu sucuruba,Trattinnickia rhoifolia Winlld.,Burseraceae,C2,105,37.3,18.90793647,495.2027292,,,,,,
Pente de macaco,Apeiba echinata Gaertn.,Tiliaceae,B2,106,42.7,21.36302219,728.6210693,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,B2,107,62.3,30.27407404,2167.30358,,,,,,
Jarana ,Lecythis lurida (Miers) Mori,Lecythidaceae,B2,108,46.1,22.9088169,907.7703105,,,,,,
Fava babatimao ,Stryphnodendron pulcherrimum,Mimosoideae,A2,109,46.2,22.95428145,913.441147,,,,,,
Tatapiririca,Tapirira guianensis Aubl.,Anacardiaceae,A2,110,42.5,21.27209309,718.8876992,,,,,,
Ucuuba terra firme,Virola melionii (Ben.)Warb.,Myristicaceae,A2,111,74.7,35.91167827,3676.859454,,,,,,
Pitaica,Swartzia polyphylla A.DC.,Papilionoideae,A2,112,137,64.23609308,21850.14884,,,,,,
Xixua ,Maytenus floribunda Reiss,Celastraceae,A3,113,50.4,24.86379256,1173.474557,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,A3,114,42.1,21.09023489,699.6814417,,,,,,
Tatajuba,Bagassa guianensis Aubl.,Moraceae,A3,115,87.5,41.7311407,5839.561513,,,,,,
Fava mapoxiqui ,Ptecelobuim jucumba,Mimosoideae,A3,116,65,31.5016169,2451.699019,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,B3,117,64.9,31.45615235,2440.746755,,,,,,
Cocao,Dialium sp.,Caesalpinioideae,B3,118,37,18.77154282,483.9480428,,,,,,
Abiu pitoma de leite,Michopholis sp.,Sapotaceae,B3,119,37.4,18.95340102,498.9926409,,,,,,
Carapanauba,Aspidosperma nitidum Benth.,Apocynaceae,B3,120,94.4,44.86819467,7295.503374,,,,,,
Matamata preto,Eschweilera coriacea (A.DC.)Mori,Lecythidaceae,B3,121,53,26.04587086,1356.835852,,,,,,
Louro vermelho,Ocotea rubra Mez,Lauraceae,C3,122,49,24.22728885,1081.960076,,,,,,
Axixa,Sterculia speciosa Schum.,Sterculiaceae,C3,123,56.3,27.54620102,1615.814128,,,,,,
Louro,Ocotea sp.,Lauraceae,D3,124,35.5,18.08957457,430.2215683,,,,,,
Cupiuba,Goupia glabra Aubl.,Celastraceae,D3,125,66.8,32.3199788,2654.477374,,,,,,
